id,title,artist,duration,duration_label,genre,uploadBatch,action,reason,extra_reasons,detail
zBfbAK934Z3gMzDyQfpu,the miseducation of lauryn hill (full album),lauryn hill,4677,1:17:57,Hip-Hop,,delete,FULL_ALBUM_DUMP,VERY_LONG,Full album/EP/cassette language and duration 1:17:57 (≥ 10 min); Duration 1:17:57 (≥ 20 min) and not an obvious DJ mix / continuous set
K2scsQocoscCpUamsCG6,Warmer Than Gold (Full Album Stream),GUV,2610,43:30,Rock,,delete,FULL_ALBUM_DUMP,VERY_LONG,Full album/EP/cassette language and duration 43:30 (≥ 10 min); Duration 43:30 (≥ 20 min) and not an obvious DJ mix / continuous set
S2jGHEdUq8hGGvAS9cZb,"Content Oscillator (2023, debut album)",TELEHEALTH,2545,42:25,Electronic,audioasis,delete,FULL_ALBUM_DUMP,VERY_LONG,Full album/EP/cassette language and duration 42:25 (≥ 10 min); Duration 42:25 (≥ 20 min) and not an obvious DJ mix / continuous set
yYF7gOTaM1QUXFZtYcbh,Have An Idea (Full Album) 1980,The Heats,2233,37:13,Rock,audioasis,delete,FULL_ALBUM_DUMP,VERY_LONG,Full album/EP/cassette language and duration 37:13 (≥ 10 min); Duration 37:13 (≥ 20 min) and not an obvious DJ mix / continuous set
LSNpyhpRYmPc1fHhMI6B,"Venomous Nightshade (full album)[Jazz Fusion][USA, 2017]",Bad News Botanists,2038,33:58,Rock,audioasis,delete,FULL_ALBUM_DUMP,VERY_LONG,Full album/EP/cassette language and duration 33:58 (≥ 10 min); Duration 33:58 (≥ 20 min) and not an obvious DJ mix / continuous set
mDU7wcEE4eVkoCQoWn51,Glorious Game - Full Album Stream,El Michels Affair & Black Thought,1881,31:21,R&B & Soul,,delete,FULL_ALBUM_DUMP,VERY_LONG,Full album/EP/cassette language and duration 31:21 (≥ 10 min); Duration 31:21 (≥ 20 min) and not an obvious DJ mix / continuous set
setpr5P9LVoMIXv5Ulnl,ten cool ones [full],the MONO MEN,1738,28:58,Rock,audioasis,delete,FULL_ALBUM_DUMP,VERY_LONG,Full album/EP/cassette language and duration 28:58 (≥ 10 min); Duration 28:58 (≥ 20 min) and not an obvious DJ mix / continuous set
gYZavBj0I1BfTTwYlYeJ,Melody Maker [FULL EP STREAM],Supercrush,1172,19:32,Rock,audioasis,delete,FULL_ALBUM_DUMP,,Full album/EP/cassette language and duration 19:32 (≥ 10 min)
hWAISmi4JpZPCfh6EE29,Listen Up / Synopsis (Full Vinyl),Erule,1096,18:16,Hip-Hop,,delete,FULL_ALBUM_DUMP,,Full album/EP/cassette language and duration 18:16 (≥ 10 min)
lZ5zHiVhrvrhZTe7DIIW,nothing is real [Full EP],VIQ,992,16:32,Electronic,,delete,FULL_ALBUM_DUMP,,Full album/EP/cassette language and duration 16:32 (≥ 10 min)
ZQRDVdEFg5TkqTLVjt90,The Man With The Little Hands - Full EP,Kingdom Of The Holy Sun,803,13:23,R&B & Soul,audioasis,delete,FULL_ALBUM_DUMP,,Full album/EP/cassette language and duration 13:23 (≥ 10 min)
vU4IfPZP0N6gyMXSkzh8,"Windows Painted Shut [Full Cassette, 2019]",NICK NORMAL,660,11:00,Rock,audioasis,delete,FULL_ALBUM_DUMP,,Full album/EP/cassette language and duration 11:00 (≥ 10 min)
2XtMuTqFrfhrcKA5tKBC,Parts Per Million (Full EP),Rubble,642,10:42,Rock,audioasis,delete,FULL_ALBUM_DUMP,,Full album/EP/cassette language and duration 10:42 (≥ 10 min)
z9kYeKfeH85rGGOs3wpp,Go Wild,"Sky Hunters, The World of the Dragonfly",2866,47:46,Rock,,delete,NON_MUSIC,VERY_LONG,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song; Duration 47:46 (≥ 20 min) and not an obvious DJ mix / continuous set"
tu5a48STjxNySf6RKgwQ,Everything You NEED To Know,MapleStory BEST Familiars Guide 2024,1128,18:48,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
s0E8IhlJLtQk7NvUngpP,Ask a Spaceman!,The Dipole Repeller: The Void That’s Tearing Us Apart,1083,18:03,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
pQbd5EBwTyBiJfRZPn8n,Mastering Multiple Stegadons in AoS,They're Moving in Herds!,994,16:34,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
eesZ1p1aVMdyIygR2lgj,Campfire Stories,Baloney Bob,967,16:07,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
UyVKRLayQxgjzHOz7tz6,Day Four - Crafting Your Marketing Message About Closure,The Bathrobe Chronicles,948,15:48,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
dDOCFF9h4WHg8T9DwHpC,Jack Sparrow is Dying... Of THIRST!,Film Theory,884,14:44,Electronic,,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
vYaxWAmpMXOOf6rtlOLy,USA Road Trip New Mexico,Santa Fe New Mexico's Historical La Fonda Hotel Tour,868,14:28,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
qJc0IGuSYXTL9Zk8YGUe,What Was Hidden in the Tower Changed All,"Kicked Out at 20, She Bought a $1 Lamplighter’s House",838,13:58,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
gHQxIv0flEZoIx29V8i0,Stealing the Town's Miniature Golden Bell (Switch Gameplay),Untitled Goose Game,801,13:21,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
GFwAInOCPArnGbHhpXZU,THE END,My Parents Don't Know: Unpacking Teenage Rebellions | Entertainment News Daily,698,11:38,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
